date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-01-02,9275,9825,9275,9475,31228000,BREN,,0.0,1000000,,0.0
2025-01-03,9525,9750,9450,9675,16136000,BREN,0.02110817941952514,0.02110817941952514,1021108,2.11,2.11
2025-01-06,9700,9925,9700,9800,19534300,BREN,0.012919896640826822,0.03430079155672816,1034301,1.29,3.43
2025-01-07,9850,10550,9750,10550,50713700,BREN,0.07653061224489788,0.11345646437994716,1113456,7.65,11.35
2025-01-08,10600,10650,10200,10475,35618900,BREN,-0.007109004739336511,0.10554089709762526,1105541,-0.71,10.55
2025-01-09,10475,10500,10125,10225,21496500,BREN,-0.023866348448687402,0.07915567282321878,1079156,-2.39,7.92
2025-01-10,10300,10525,10200,10450,16317700,BREN,0.022004889975550057,0.10290237467018448,1102902,2.2,10.29
2025-01-13,10450,10525,9500,10025,37723000,BREN,-0.04066985645933019,0.05804749340369364,1058047,-4.07,5.8
2025-01-14,10200,10225,9625,9650,30077600,BREN,-0.03740648379052369,0.018469656992084138,1018470,-3.74,1.85
2025-01-15,9650,9725,9025,9075,40012900,BREN,-0.059585492227979264,-0.042216358839050394,957784,-5.96,-4.22
2025-01-16,9100,9775,8875,9575,35353500,BREN,0.05509641873278226,0.010554089709762238,1010554,5.51,1.06
2025-01-17,9650,10075,9600,9825,60357300,BREN,0.02610966057441244,0.0369393139841685,1036939,2.61,3.69
2025-01-20,9925,10000,9600,9600,21370700,BREN,-0.022900763358778664,0.013192612137202797,1013193,-2.29,1.32
2025-01-21,9650,9850,9100,9850,50440000,BREN,0.02604166666666674,0.03957783641160928,1039578,2.6,3.96
2025-01-22,9950,10075,9775,9850,25079100,BREN,0.0,0.03957783641160928,1039578,0.0,3.96
2025-01-23,9900,10050,9775,10000,22516700,BREN,0.015228426395939021,0.05540897097625308,1055409,1.52,5.54
2025-01-24,9975,9975,9400,9600,28283600,BREN,-0.040000000000000036,0.01319261213720302,1013193,-4.0,1.32
2025-01-30,9600,9625,9050,9125,19450700,BREN,-0.04947916666666663,-0.03693931398416894,963061,-4.95,-3.69
2025-01-31,9175,9325,9025,9025,13310200,BREN,-0.010958904109588996,-0.0474934036939314,952507,-1.1,-4.75
2025-02-03,8975,9000,8250,8400,27467700,BREN,-0.06925207756232687,-0.11345646437994727,886544,-6.93,-11.35
2025-02-04,8500,8975,8475,8875,17040900,BREN,0.05654761904761907,-0.0633245382585752,936675,5.65,-6.33
2025-02-05,8950,8975,8700,8850,13590000,BREN,-0.0028169014084507005,-0.06596306068601587,934037,-0.28,-6.6
2025-02-06,8900,8925,8600,8775,8514600,BREN,-0.008474576271186418,-0.07387862796833777,926121,-0.85,-7.39
2025-02-07,7025,7025,7025,7025,9594200,BREN,-0.19943019943019946,-0.25857519788918215,741425,-19.94,-25.86
2025-02-10,6500,7100,5800,6650,154387100,BREN,-0.053380782918149516,-0.29815303430079165,701847,-5.34,-29.82
2025-02-11,6700,6775,5825,6025,60707200,BREN,-0.09398496240601506,-0.3641160949868075,635884,-9.4,-36.41
2025-02-12,6100,6450,6025,6275,27758900,BREN,0.04149377593361003,-0.33773087071240115,662269,4.15,-33.77
2025-02-13,6475,6475,6025,6125,20652100,BREN,-0.0239043824701195,-0.35356200527704496,646438,-2.39,-35.36
2025-02-14,6150,6350,6075,6150,17429300,BREN,0.004081632653061273,-0.3509234828496043,649077,0.41,-35.09
2025-02-17,6250,7050,6225,7025,45916300,BREN,0.1422764227642277,-0.25857519788918215,741425,14.23,-25.86
2025-02-18,7100,7150,6800,6825,26653500,BREN,-0.028469750889679735,-0.2796833773087072,720317,-2.85,-27.97
2025-02-19,6850,6950,6675,6725,11896600,BREN,-0.0146520146520146,-0.29023746701846964,709763,-1.47,-29.02
2025-02-20,6725,6950,6650,6700,12642500,BREN,-0.0037174721189591198,-0.2928759894459103,707124,-0.37,-29.29
2025-02-21,6900,7000,6750,6900,21679300,BREN,0.029850746268656803,-0.27176781002638517,728232,2.99,-27.18
2025-02-24,6900,6900,6300,6300,23643300,BREN,-0.08695652173913049,-0.3350923482849604,664908,-8.7,-33.51
2025-02-25,6325,6450,6050,6125,19056200,BREN,-0.02777777777777779,-0.35356200527704484,646438,-2.78,-35.36
2025-02-26,6225,6600,6175,6425,23444300,BREN,0.048979591836734615,-0.32189973614775724,678100,4.9,-32.19
2025-02-27,6475,6525,6200,6200,19662900,BREN,-0.035019455252918275,-0.34564643799472294,654354,-3.5,-34.56
2025-02-28,6125,6350,6025,6125,14415600,BREN,-0.012096774193548376,-0.35356200527704484,646438,-1.21,-35.36
2025-03-03,6225,6525,6200,6400,13993600,BREN,0.044897959183673564,-0.3245382585751978,675462,4.49,-32.45
2025-03-04,6400,6425,5875,6075,23552800,BREN,-0.05078125,-0.3588390501319261,641161,-5.08,-35.88
2025-03-05,6125,6250,6100,6100,9871600,BREN,0.004115226337448652,-0.3562005277044854,643799,0.41,-35.62
2025-03-06,6200,6375,6175,6325,10928500,BREN,0.03688524590163933,-0.3324538258575197,667546,3.69,-33.25
